chat,labels
main mu kek tai cok,3
 telat ngasih tau elu edan sarap gue bergaul elu,3
kadang berfikir percaya tuhan jatuh berkalikali kadang tuhan ninggalkan orangtuaku berencana berpisah kakakku memilih kristen,1
  akuku tau matamu sipit diliat,2
capek deh ketemu kaum cina kapir gini match,2
skill cacad ngide jungler cok,3
gg main lo keren bro,1
gue aja kelar rewatch aldnoah zero kampret emang endingnya 2 karakter utama cowonya kena friendzone bray xd url,1
admin belanja port terbaik nak makan ai kepal milo ai kepal horlicks cendol toping kaw doket mano tu,1
 enak lg klo smbil ngewe,0
gw jari lu sebelom gw ukur nyali bacot lu ,3
    banci kaleng malu ga 2 nyungsep koe  url,0
kalo belajar ekonomi mestinya jago memprivatisasi hati orang duh ironi ,3
maennya goblok banget sih geblek banget dah,3
bu guru enakan jablay guru esde sihkayaknya menikmati pecun guru,0
minum tuh kencing onta emang dasar otak onta,3
fikiran ampas banget ya,1
dasar anak babi kau,3
cowo gentle kalo ga gentle namanya banci,0
anak anjing,3
asw ya gua jarang ngambek takut wkkwkwkwkw gua bucin,1
 kalo noob peluang disakitin nya gede si,1
goblok banget sih mainnya gitu aja kalah mulu,3
mbak ki gatel lonte cowokku ikuti sange si,0
ggwp gan mantap banget,1
maen apapun bekerjasama,1
si  kerjaannya delay mulu setan,3
menurutku pintu sorga pintu sorga asli pintu hatimu modusbanget,1
mainmu noob banget ga bagusnya,3
mah sdh neneknenek sy heran kaum cebong bisanya bohong,2
parah lo mainnya mati aja,3
liat tuh anjing jawa babi cina jalan bareng,2
 gak kak emak mah gak demen ama sipit wkwk,2
kelakuan homok jaman now ngentot aja live,0
 ga kak gua orang jawa maaf yak gua orang palembang kakak aja deh yg belajar aksara jawa kalak belajar budaya palembang,1
pegawai guardian training kek mentang2 gue kek gembel cuman kaos flat shoe nanya dijutekin bangsad emang male belinya kabur gua matahari,3
para bajingan melukai lady menerima ganjaran seratus kali lipat,3
lawannya pro banget auto kalah ni kayaknya,1
gw noob ajarin ya suhu,1
edan emang goollnya fabiano,1
gapernah mendalami alquran ya bang pantesan mulutnya kaya orang kafir bejat hina,3
