id,chat,label
1,main mu kek tai cok,violence
2,user telat ngasih tau elu edan sarap gue bergaul elu,violence
3,kadang berfikir percaya tuhan jatuh berkalikali kadang tuhan ninggalkan orangtuaku berencana berpisah kakakku memilih kristen,neutral
4,user user aku\n\nku tau matamu sipit diliat,racist
5,capek deh ketemu kaum cina kapir gini match,racist
6,skill cacad ngide jungler cok,violence
7,gg main lo keren bro,neutral
8,gue aja kelar rewatch aldnoah zero kampret emang endingnya 2 karakter utama cowonya kena friendzone bray xd url,neutral
9,admin belanja port terbaik nak makan ai kepal milo ai kepal horlicks cendol toping kaw doket mano tu,neutral
10,user enak lg klo smbil ngewe,harassment
11,gw jari lu sebelom gw ukur nyali bacot lu \xf0\x9f\x98\x8f,violence
12,user user user user banci kaleng malu ga 2 nyungsep koe user url,harassment
13,kalo belajar ekonomi mestinya jago memprivatisasi hati orang duh ironi user,violence
14,maennya goblok banget sih geblek banget dah,violence
15,bu guru enakan jablay guru esde sih\nkayaknya menikmati pecun guru,harassment
16,minum tuh kencing onta emang dasar otak onta,violence
17,fikiran ampas banget ya,neutral
18,dasar anak babi kau,violence
19,cowo gentle kalo ga gentle namanya banci,harassment
20,anak anjing,violence
21,asw ya gua jarang ngambek takut wkkwkwkwkw gua bucin,neutral
22,user kalo noob peluang disakitin nya gede si,neutral
23,goblok banget sih mainnya gitu aja kalah mulu,violence
24,mbak ki gatel lonte cowokku ikuti sange si,harassment
25,ggwp gan mantap banget,neutral
26,maen apapun bekerjasama,neutral
27,si user kerjaannya delay mulu setan,violence
28,menurutku pintu sorga pintu sorga asli pintu hatimu modusbanget,neutral
29,mainmu noob banget ga bagusnya,violence
30,mah sdh neneknenek sy heran kaum cebong bisanya bohong,racist
31,parah lo mainnya mati aja,violence
32,liat tuh anjing jawa babi cina jalan bareng,racist
33,user gak kak emak mah gak demen ama sipit wkwk,racist
34,kelakuan homok jaman now ngentot aja live,harassment
35,user ga kak gua orang jawa maaf yak gua orang palembang kakak aja deh yg belajar aksara jawa kalak belajar budaya palembang,neutral
36,pegawai guardian training kek mentang2 gue kek gembel cuman kaos flat shoe nanya dijutekin bangsad emang male belinya kabur gua matahari,violence
37,\xe2\x80\x9dpara bajingan melukai lady menerima ganjaran seratus kali lipat,violence
38,lawannya pro banget auto kalah ni kayaknya,neutral
39,gw noob ajarin ya suhu,neutral
40,edan emang goollnya fabiano,neutral
41,gapernah mendalami alquran ya bang pantesan mulutnya kaya orang kafir bejat hina,violence
42,imba bener dah maennya ga kasih kesempatan ngulti,neutral
43,anjir kali lihat orang bego debat pilkada kerjanya nyerang karakter shame on you,violence
44,keanekaragaman budaya suku agama sesungguhnya kekayaan,neutral
45,gila mainnya pro banget ggwp gan,neutral
46,ga nyangka maennya seimba gw noob loh,neutral
47,maennya bener bang,neutral
48,user user user user sembahyang mengadopsi tradisi lokal kerjaan hindu\n\nistilah\xc2\xa0sembahyang\xc2\xa0pun lahir tradisi ritus\xc2\xa0menyembahhyang tunggal dengan\xc2\xa0shalat menyembah all,neutral
49,kau pendikan bodoh,violence
50,abaikan kaum kampret otak micin,racist
51,user user si otak tempurung mah ga d ladenin smkn d lawan bloon dungu kalo ga gitu ga makan hehe,violence
52,user awaasss klu bcr aja micingin mata bibir monyong kesamping suara ky lg nhn kentut,violence
53,babi cina umur 3 taonan tuh,racist
54,user cerita silat lae \xf0\x9f\x98\x80 kho ping hoo indonesia liang ie shen penulis china,neutral
55,user benci dgn umat islam,racist
56,parah lu jawa mainnya pinter dikit napa,racist
57,user gua nete,harassment
58,lol kaum kampret,racist
59,takabur lahir penguasa rakyat ulama cendikia iblis mahluq yg alim amp beribadah beratus2 th dilaknat krn hasud takabburnya ahli ilmu filsafat yg tdk failosof mari demo sendi,neutral
60,orang suka konserkonser boros,neutral
61,ulama hukum rokok mubah,neutral
62,cari safe zone cuy lawan imba,neutral
63,user udah kali gue kpoper kalo ngomong temen2 gue idol gua banci homo,harassment
64,suka mainmu beneran gg dah,neutral
65,budaya kafir bersungguh klau hal2 islam diendahkan,violence
66,user user user user \xf0\x9f\x8e\xb6 la la lahm hmm \xf0\x9f\x8e\xa7 diam bisu\nkita coba rumput yg bergoyang \n\xe2\x99\xab\xe2\x99\xab\xe2\x99\xab\xe2\x99\xaa\xe2\x99\xaa\xe2\x99\xaa,neutral
67,setan membisikkan waswas kepadamu mintalah perlindungan allah q ala\xe2\x80\x99raf 200 fushilat 36,neutral
68,user user user user user user user klw ente atheisngapain sibuk dgn agama orang,neutral
69,kalahin bangsat pake otak lo napa janganjangan ga,violence
70,user selamat kartini,neutral
71,bajingan homo\nhati2 anak2 kamar mandi laki2 jgn biarkan url,harassment
72,user iya cocot,violence
73,user budaya indonesia,neutral
74,user ngajarin solata ajah orang aseng memecah belah islam,racist
75,lo ngomong aja kaga bener bangke,violence
76,user user mempercayai yg negara disuatu dijajah,neutral
77,mainnya gitu pengen menang lha yo opo,neutral
78,kalo seumpama orang cina usir paksa indonesia gimana,racist
79,user bunda ngentot yuk,harassment
80,china babi china maling\nusir china,racist
81,karno anti asing beliau jawa coba deh adain konsensus jawa anti asing pro asing keboohannya,racist
82,picek goblok tu mata ga dipake,violence
83,user wajar lihat tingkah bbrp petinggi negeri yg suka mencampur bh indonesia dgn bh asing kali bicara,neutral
84,pribadi yg senang berkompetisi positif,neutral
85,gua liat babi ngendon,violence
86,user suka nutup mata kaga ditutup udah tertutup gara2 sipit,racist
87,user sy sbg muslim tdk user menistakan kitab suci alquran krn dlm alquran sndri bbrp suku yg smpai dtik blm mkna faktualnya olh umat islam tp yakini tsb makna yg tersirat fiksi yg blm,neutral
88,user eh kasar kau kampang,violence
89,bentar gua rilis album the ontas wkwkwkwkwk,racist
90,user cebong bang,racist
91,najis banget gw ngechat barusan wey,neutral
92,transgender gmn anjing url,violence
93,user awas bintitan lu ngintipin titit kucing,harassment
94,user user bawel baper bolot bodor gaje wkwk ya udah aja deh,violence
95,user user user user gue saranin gk bnyk bacot maling ayat langsung to the point aja lu orang yg tdk sepaham lu teriakin aja kafir sesat liberal pemuja dukun bla blaaa hatimu puas dehh,violence
96,kacau lu mainnya goblok,violence
97,main ga sih kalah mulu bego,violence
98,maju lu duit kau goyang kaki pape la duit nak maju kat kau bodo,violence
99,anjirrrr pa banget bro ngeluarin ultinya berbalik ni,neutral
100,ha ha baca biar pintar jepang amerika china utang lu tau,neutral
101,gue dah carry loe pade loe berterima kasih gue,neutral
102,user user takut adzan iblis,neutral
103,user user yg goblog ban cebong tukang tipu penjilat penguasa yg ketahuan gerakin yg dibayar pakai nasi bungkus propaganda nasi bungkus gagal,racist
104,user user user user wuih cebong sewot\n\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82,violence
105,2 gerakan menekankan kerja kera total tingkatkan potensi bangsa,neutral
106,payah lu gitu aja kalah curut aja pinter lu,violence
107,widih savage banget ngalahin pro player senjata ala kadarnya,neutral
108,orang orang menuding antek aseng aseng sesungguhnya bertepuk tangan,racist
109,user loh anti aseng,racist
110,selamat user semoga berkiprah tingkat nasional,neutral
111,anjay menang ggwp gaes,neutral
112,tau ga bro kemarin gw liat tim onoh maennya imba banget ga ngalahin kalo ga savage,neutral
113,user anak pecun ga jauh2 dr hobi zina haha,violence
114,lu ngancurin lawan ga noob sih mainnya,neutral
115,musuh loh friendly fire,neutral
116,jelek muka gw dibicarain temen lo,neutral
117,pria sukses menghasilkan uang istrinya habiskan perempuan sukses menemukan lakilaki,neutral
118,user cium ni pantat,harassment
119,user user ngakunya org pintar beragama emangnya agama yg memperbolehkan menista menghujat org jgnkan orang bodoh org yg maaf lahir idiot hr hargain ciptaan tuhan iblis pintar licik,neutral
120,4nj1n9 tu emang orangnya,violence
121,payah sih pecun klo maen mesti beban mulu,harassment
122,w mantan mantan w mgerasa sedih ampe kepikiran gabisa tidur lohh w ngerasa anak yg brengsek aja gt laki2,neutral
123,cina perusak bangsa usir stuju,racist
124,gini nih kalo planga plongo kelakuan otoriter,violence
125,ayo menangin ronde kayak ronde kalah mulu,neutral
126,tim gua gua pro pake karakter,neutral
127,ayo mabar gaes buruan masuk tim gw gw dah login ni,neutral
128,cowo jago drasex ngentot adek luvian,harassment
129,bule kapir tauuungapain blajar sm kapirudh lupa sm kapling sorga,racist
130,user user loh nya emang suka homoan hode ya,harassment
131,gue tau loh culun cemen orang berubah perlahan2 buruk,neutral
132,game masternya baek banget ga segan ngabisin cheater ketahuan betah gw,neutral
133,kejar setorang bangsad rupiah turun \xf0\x9f\x98\xa5,neutral
134,kagak bener ni maennya mati aja lu noob,violence
135,user bangke hajar,violence
136,onta mati klo kebanyakan minum,neutral
137,hajar ancurin kasih ampun,violence
138,ez banget bunuh cupu abis tu emang orang jawa ga maen bagus,racist
139,uang membeli kebahagiaan enak nangis dalem mercy nangis motor butut khan,neutral
140,tujuan hati\nlogikaku yg \ntapi hati tenang\naku logika \nhatiku sedih \nku cari wasiat yg beliau tinggalkan \ndan terasing asing mata manusia \ntak duhai,neutral
141,ga nyali banget si pengecut,violence
142,noob tolol tim tolol\ntim tolol orang tolol,violence
143,ayu ting ting goyang hot raffi ahmad nagita slavina kampungan norak url,harassment
144,video ttg tka malaysia mengutip pernyataan user,neutral
145,buruburu ngalahin pro player strategi gg,neutral
146,random pagi2 bapak2 nyamperin meja kerja trus nanya pake bedak sih biar mukanya bersih istri butek soalnya\ningin ku pake air wudhu ku kristen,neutral
147,user user kampret,violence
148,memek lonte pengen disodok kontol gede,harassment
149,liat tu kampret terbang pepohonan,neutral
150,user ngomong opo itumulut bancibeli kaca lihat dirimu broo,harassment
151,user amin rasis\nada dani\nada ratna si paiiit\nada si onta\nada si lobang anus\njdi jngan takut wo wo\nkehabisan obat penenang yh,violence
152,user tunggu komando imam bejat cabul user taik beer \xf0\x9f\x8d\xba\n\nape2 bawa ulama\ndasar banj sempak,harassment
153,dih liat buaya tebar pesona,violence
154,dih ngaku pro gue ngaca woyy tampang loe aja k\xc3\xa6k orang bego user ckakakakak,violence
155,gim dikuasai antek cina pelit banget pribumi ngasih item,racist
156,user user ga caya mulut buaya mu bwang,violence
157,kalo maen serius dikit napa kayak tai,violence
158,kayak banci kaleng gatot gaduh gentleman mundur bersaing,harassment
159,bebal emang dikasih tau ga didengerin udah dibilang gegabah ga didengerin,neutral
160,emang pengen banget bikin muslim terpecah belah namanya antek komunis parah bener kelakuan komunis tu,racist
161,kelakuan kayak kunyuk nih nubie,violence
162,eh nubi yang kagak bisa maen mending mati aja sana,violence
163,ez win nih ggwp cakep guy,neutral
164,user eh muka merah2 tu dpt cendol la setan cuaca skrg ni panas,violence
165,sesering apapun latian aja ga ngalahin imba emang noob tu ga level,violence
166,emang asik liatin pro bertanding adrenalin terpacu sampe detik,neutral
167,syg bgt ya ngeliat perempuan kyk gini gak status apa2 tp udah nemplok sm lakilaki haduh\nnagita slavina blakblakan ayu ting ting kampungan \xe2\x80\x93 viva url,harassment
168,muuph gan dc parah gw inet bersahabat,neutral
169,user ane cebong udeh dibilangin maren ngeyel\nsitu maksa ane cebong,racist
170,kebangeten maennya gobloknya ga kira2 cupu bener,violence
171,selamat kartini kali dirayakan maknanya kali ð¤,neutral
172,foto bisu tpi memiliki arti yg sush diartikansma susah diartikanmau putus,neutral
173,hatihati troll udah bagus maennya ngerusak suasana,neutral
174,sombong bro nyamar noob kalo maen gg banget,neutral
175,buset gue lag banget nih sampe nggak gerak cuy,neutral
176,user user hahaha sialaaan nih si user klo lg laper presiden disikat doiðð½,violence
177,user user user menasehati kali ga ugal2an nih rezim eh negeri sdh keburu ancornah skrg ekonomi morat marit kacaoooooo,violence
178,user aelaah silit kebeler ngapa dikasianin org sayang pak\nsetelah sosmed gw sadar bbrapa seitansai kemarin\ntar gw ceritain duuuhhh \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\x98\x85,violence
179,user iya tdi cacad bener maennya anjiiiiiiingggg,violence
180,kalahin si perek pacarnya biarin ngewe gim,harassment
181,male dah gue main udah nggak bener toxic game,neutral
182,maju cuy takut gwa lo,neutral
183,hajar abisin kasih kendor klo troll aja ampe logout game klo sampe hapus id,violence
184,mudah ya yg kera yg kera nama,neutral
185,user kemarin hujat mengharap dasar ban kampret,racist
186,user penjelasan sy fitnah silahkan dibantah user alquran kitab sampah,violence
187,monyet aja koloe dbilang saudra sma elo ogah hdupmu gini ya toe hati comberan user,violence
188,perabotan dapur hidup praktis temukan peralatan dapur inovatif toko online nikmati penawaran spesial pembelian,neutral
189,user cacat krn blum bermasa,neutral
190,user user jangan2 penganut bumi datar \xf0\x9f\x98\x9d\nsoalnya teori bumi bulat orang asing yg notabane musuh,neutral
191,dasar penakut pengecut pecundang,violence
192,enak banget dah tuh anjing sialan tinggal k aja,violence
193,vegetarian orang makan apapun memiliki anak,neutral
194,user pencerahan nya gagal anak ekonomi wkwk,neutral
195,user user user user kafan berasal budaya yahudi umat islam mengklaim,neutral
196,dasar cina komunis gay homo jomok maho hode troll,harassment
197,user user tanda nya rematch ga terima gg maennya,neutral
198,udah level wa bantu ngegrinding ga,neutral
199,bro login ayok gue udah otg nih,neutral
200,user apaansi tai gt doang belagunya udah selangit ga inget karma ntar bbrp taun kalo idol lu flop gua ketawa kera,violence
201,user user celeng kgn gw y,violence
202,sorus kemarin gue dc garagara mati lampu rumah gue,neutral
203,bantuin gue mythic pake akun smurf lo,neutral
204,user aamiin ya allah \ntimnya kinan aja pelatihan ular rawarawa dapatnya sungai gede gt musuhnya buaya wkwkw,neutral
205,user user maju ngatain mama bolot,violence
206,grombolan kadal jidat gosongmmg bgtu sukanya ribut klo grombolanya yg salah pura2 budekdasar grombolan cingkrang url,violence
207,user user user segitu gentarnya takut kafir\xf0\x9f\x98\x81,racist
208,gerombolan babi kelakuannya kayak gitu bikin susah aja,violence
209,user bego lu tmn gua najis dah kesel gue,violence
210,user user kafir kristen ulah,racist
211,user tau bau baunya udh keciri sipit buluq,racist
212,user kayak memegang mucikari,harassment
213,yo maen gim aja udah sepi,neutral
214,user anjir serem maennya begituan bikin sange tau \xf0\x9f\x98\x82\xf0\x9f\x91\x8c,harassment
215,bro gue afk ya disuruh sholat maghrib,neutral
216,user user user user onta yaman ni,violence
217,hatihati berita berbau hoax,neutral
218,user anak modal cocot ya user,violence
219,ketauan nubi banget tu orang payah,violence
220,mantaaap maennya gg banget bang,neutral
221,lebah yg gak suka bunga makan bangkai gw penasaran madu nya kaya gimana \xf0\x9f\xa4\x94,neutral
222,user user indonesia mundur bentuk lha maen game aja cupu cupu gini,violence
223,user user user user naahh yg dongo yg bilang hekell hahaha,violence
224,dasar buaya tau player cewe dikeroyok kayak tu cewe pengen dientot aja,harassment
225,bangsad gua dah nyelem ampe bawah2 lgi,violence
226,dipancingpancing dgn urusan penistaan berbicara pemahaman ttg fiksi kitab suci,neutral
227,user user user user cebong kacung kt temen gw dungunya sampe tulang sum2jd jgn buang2 energi debat sm mereka\xf0\x9f\x98\x82,racist
228,user tukang ngetroll toxicgoblog,violence
229,signal kntl pemeliharaan niat gak sih login doank susah gmn open redtube cetan user,violence
230,user user matane moh kafir wkwkwk,violence
231,user inget fesbuk anjir lupa,neutral
232,user kalo aing sih bilang hilih kntl,violence
233,elu udah pake hijab yg ngomong cebang cebong udah fantasiin doi belom uh ah,harassment
234,user tatapannya dialihkan arah enggan menatap pria mencurigakan lagipula kali gaduh suasana,neutral
235,tenang google membantu memecahkan hidup lu chatgpt,neutral
236,calon cantik ni anak liat aja avanya,neutral
237,ya terserah lo aja balasnya fokus kerjaan tugas project seni budaya 2 setelahnya langsung dikumpul dipresentasikan bersyukur nilainya memuaskan kejadian project,neutral
238,ga bro imba bener susah menang mending fokus cari item,neutral
239,kelakuan bodoh udah tau kalah nekat,violence
240,monyet turun pemukiman ni,violence
241,user kotor ga bahagia warganya cebong ngerti,violence
242,giveaway taplak meja menang therichchenle,neutral
243,elu mainnya gimana dah bego,violence
244,user user wkwkwkwk bodo bang,violence
245,user user bikan kaya orang begobro tapimemangbego,violence
246,klhk upayakan pemerataan ekonomi tora kawasan hutan perhutanan sosial tribun medan,neutral
247,ga anjing,violence
248,user user orang2 bego kebanyakan minum amp makan kotoran onta otak nya somplak,violence
249,strategi kemenangan,neutral
250,orang teman menyebalkan kalo lo ga janganjangan elo,neutral
251,kalah emang seidiot ya maennya,violence
252,gila cerdik bener dah taktiknya ga salah emang dijuluki pro imba,neutral
253,gitu mainnya bener gitu khan jg seneng klo gg gini,neutral
254,user user lo rabun budek\ngue nulis gak ngomong\n\xf0\x9f\x98\x81\xf0\x9f\x98\x80,violence
255,bismillah nahan sepo terkutuk,neutral
256,user brahahahaaa cebong nya ngehe \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3 user cebong blm cebok \xf0\x9f\x98\x85 user,harassment
257,apdet status bikin tugas2 kelar gak ya jancuk mbut,violence
258,user user muslim pejabat negara bertindak bangsa negara,neutral
259,12 ikan yg sembuh sakitnya yg terselamatan bagus laik jual dipisah diseleksi ikan yg cacat permanen pemeliharaan \n\nkesehatanikan\ncc user user user,neutral
260,pribumi sadari lihat kecuali samasama cina komunis misionaris abaikan chat usir cina indonesia,racist
261,ga nangis latian membalaskan kekalahan barusan,neutral
262,user user manusia bangsad,violence
263,tpi ya sampe cina mengenalkan wisata haram jga indonesia hahaha,racist
264,dateng dah kadal bengkaknya,violence
265,persahabatan salahlovren bukti beda suku agama ra halangan dlm membina hubungan dgn umat manusia perbedaan warna tersendiri dlm menjalin pertemanan terima kasih lovrensalah â¥ï¸ favourite bff bro,neutral
266,user user user aja lh lae meskipun sdh turun menurun tp ideologi pki sllu melekat jiwa mreka,racist
267,sebel kalo yg ngeroko motor yakan kadang engap kalo ditutup macet\xe2\x80\xa6,neutral
268,user user udah maaf kunyuk user bro\n\nenak bgt rasan merekasebar hoax maafsebar hoax maaf lagi\n\nmesti d sapu user biar jera nih orang url,violence
269,terbaik mengubah pikiran perempuan setuju pendapat kecuali perempuan lonte duit lo mengubah pendapat,harassment
270,2 perkuat jaringan gubernur user menekankan menguasai state of the art knowledge bahasa merantau indonesia user,neutral
271,berhenti lajang menikah,neutral
272,provider brengsek,violence
273,timnya keren nih susah ngalahinnya,neutral
274,dungu,violence
275,ga bego,violence
276,user kampret complain rag ditanggepi fuck,violence
277,kaya jablay gta maunya dijemput pake mobil,harassment
278,lihat memek tante,harassment
279,omongan aja alim melulu kelakuan kayak setan,violence
280,user user user user hah melengkapi orang buktinya goblok gimana si,violence
